Elo,Pts_div_pld,Result,GfA,GaA
1882.09,0.0,2,0.0,0.0
1694.45,0.0,0,0.0,0.0
1670.67,0.0,2,0.0,0.0
1573.61,0.0,0,0.0,0.0
1630.9,0.0,0,0.0,0.0
1690.14,0.0,2,0.0,0.0
1564.19,0.0,0,0.0,0.0
1834.34,0.0,2,0.0,0.0
1667.87,0.0,0,0.0,0.0
1911.97,0.0,2,0.0,0.0
1623.36,0.0,2,0.0,0.0
1629.95,0.0,0,0.0,0.0
1590.2,0.0,1,0.0,0.0
1696.7,0.0,1,0.0,0.0
1819.8,0.0,0,0.0,0.0
1972.1,0.0,2,0.0,0.0
1915.08,0.0,2,0.0,0.0
1670.75,0.0,0,0.0,0.0
1650.53,0.0,1,0.0,0.0
1689.94,0.0,1,0.0,0.0
1570.5,0.0,1,0.0,2.0
1666.73,0.0,1,1.0,2.0
1843.14,3.0,2,3.0,0.0
1814.67,0.0,0,0.0,2.0
1698.33,1.0,2,2.0,2.0
1652.53,1.0,0,0.0,0.0
1694.52,0.0,2,1.0,2.0
1594.08,1.0,0,2.0,2.0
1918.63,3.0,2,2.0,1.0
1622.01,0.0,0,0.0,2.0
1669.78,0.0,0,0.0,4.0
1679.29,3.0,2,2.0,0.0
1623.46,0.0,2,0.0,2.0
1887.54,3.0,0,2.0,1.0
1701.77,1.0,0,0.0,0.0
1635.37,3.0,2,2.0,0.0
1982.75,3.0,2,2.0,0.0
1560.92,0.0,0,0.0,3.0
1704.54,3.0,0,2.0,0.0
1921.58,3.0,2,4.0,0.0
1805.24,0.0,2,1.0,2.5
1656.81,0.0,0,0.5,3.0
1684.71,3.0,1,2.0,0.5
1699.96,2.0,1,2.0,1.5
1555.57,0.0,1,0.5,4.5
1567.61,0.5,1,0.0,1.0
1923.85,3.0,2,3.0,0.0
1632.87,1.5,0,1.5,2.0
1643.36,0.5,0,0.5,1.0
1696.53,1.5,2,1.5,1.0
1584.52,0.5,1,1.0,2.0
1980.55,3.0,1,4.0,0.5
1616.2,0.0,2,0.5,2.5
1670.15,0.5,0,0.5,1.5
1662.08,0.5,0,0.5,1.0
1845.02,3.0,2,3.0,1.0
1648.09,3.0,2,2.5,0.5
1694.73,1.5,0,1.0,1.0
1870.58,1.5,0,2.0,2.0
1916.89,3.0,2,2.5,1.0
1628.91,1.0,1,1.0,1.67
1624.98,1.0,1,1.67,2.33
1847.69,3.0,2,2.67,1.0
1680.84,2.33,0,2.0,1.0
1684.66,1.0,0,1.0,1.33
1632.52,0.33,2,0.67,1.33
1698.93,1.67,1,2.0,1.67
1551.61,0.33,1,0.33,3.0
1702.46,2.0,0,1.67,1.0
1922.92,3.0,2,2.33,0.0
1970.69,2.33,2,3.0,0.67
1654.51,0.33,0,0.67,1.33
1649.89,0.0,0,0.67,3.0
1589.49,0.67,2,1.0,1.67
1649.08,0.33,0,1.0,2.33
1853.28,1.0,2,1.33,2.33
1566.66,0.67,0,0.0,0.67
1807.25,1.0,2,1.67,2.0
1653.25,3.0,2,2.33,0.67
1929.3,3.0,0,2.67,0.67
1676.73,1.75,2,1.5,1.25
1698.37,1.5,0,1.5,1.25
1851.8,3.0,2,2.5,0.75
1562.84,0.5,0,0.5,1.25
1557.05,0.5,0,0.5,2.5
1668.74,0.75,2,0.75,1.5
1972.01,2.5,2,2.75,0.75
1626.92,1.0,0,1.75,2.25
1653.19,0.25,0,0.75,1.5
1811.07,1.5,2,2.0,2.0
1916.17,2.25,0,2.25,1.0
1927.01,3.0,2,2.25,0.25
1666.38,3.0,0,2.25,0.75
1860.03,1.5,2,1.5,1.75
1693.49,1.5,0,1.75,1.5
1638.59,0.0,2,0.5,2.5
1600.78,1.25,2,1.0,1.25
1642.33,0.25,0,0.75,2.25
1648.45,1.0,1,1.0,1.0
1626.96,1.0,1,1.25,1.75
1627.91,1.0,0,1.4,1.8
1895.47,1.8,2,2.0,1.2
1633.22,0.2,2,0.6,2.0
1684.83,2.0,0,2.0,1.4
1558.68,0.4,0,0.6,1.8
1957.19,2.6,2,2.8,0.6
1674.23,1.2,1,0.8,1.2
1646.21,0.2,1,0.8,1.6
1623.65,0.8,1,1.4,2.4
1660.05,2.4,1,2.0,1.0
1687.42,1.2,2,1.6,1.8
1548.7,0.4,0,0.4,2.2
1939.36,3.0,2,2.2,0.4
1644.64,1.0,0,1.2,1.2
1872.89,1.8,1,1.6,1.6
1607.04,1.6,1,1.0,1.0
1816.66,1.8,2,2.0,1.8
1676.33,1.2,0,1.6,1.8
1652.89,0.6,1,1.0,2.2
1858.72,3.0,1,2.8,0.8
1821.31,2.0,2,2.0,1.5
1660.91,2.17,0,1.83,1.0
1854.9,2.67,1,2.33,0.67
1941.91,3.0,1,2.33,0.33
1671.68,1.0,2,1.33,1.83
1622.78,0.83,0,1.33,2.17
1543.82,0.33,0,0.5,2.33
1898.94,2.0,2,2.0,1.17
1960.97,2.67,2,3.17,0.5
1624.45,0.83,0,1.33,1.83
1648.87,0.33,0,0.67,1.33
1692.29,1.5,2,1.83,1.67
1656.71,0.67,2,0.83,1.83
1865.46,1.67,0,1.5,1.5
1614.46,1.5,2,1.0,1.0
1642.09,0.83,0,1.0,1.5
1554.9,0.33,0,0.5,2.33
1648.73,0.67,2,1.17,1.67
1669.32,1.67,2,1.67,1.83
1671.58,1.17,0,0.67,1.0
1618.38,0.71,2,1.14,1.86
1668.93,1.0,0,1.14,1.71
1651.83,1.0,1,1.29,1.57
1536.27,0.29,1,0.43,2.29
1660.85,1.0,0,0.71,1.14
1620.01,1.71,2,1.14,0.86
1699.98,1.71,0,1.86,1.43
1676.22,1.29,2,1.57,1.57
1839.94,1.43,2,1.43,1.71
1632.3,0.29,0,0.57,1.43
1886.55,2.14,2,2.0,1.0
1542.92,0.29,0,0.57,2.29
1652.3,1.86,0,1.57,1.14
1671.17,1.86,2,1.71,1.71
1609.37,0.71,0,1.14,2.29
1826.14,2.14,2,2.0,1.29
1929.07,2.71,1,2.14,0.43
1962.37,2.71,1,3.0,0.43
1627.67,0.71,0,0.86,1.57
1851.59,2.43,2,2.14,0.71
1689.41,2.0,1,2.0,1.5
1620.38,0.63,1,0.75,1.75
1541.81,0.25,2,0.5,2.13
1601.2,0.63,0,1.13,2.63
1858.89,2.5,1,2.25,0.63
1842.44,1.63,1,1.63,1.75
1541.07,0.38,0,0.5,2.13
1928.24,2.5,2,1.88,0.38
1963.2,2.5,2,2.63,0.38
1647.03,1.0,0,1.25,1.5
1629.81,0.25,0,0.75,1.63
1626.07,1.0,2,1.13,1.63
1661.24,0.88,0,1.0,1.63
1887.66,2.25,2,1.88,0.88
1631.05,1.88,0,1.13,0.75
1634.06,1.63,2,1.38,1.5
1686.5,1.5,2,1.63,1.5
1649.81,0.88,0,0.63,1.13
1834.31,2.25,2,2.38,1.25
1689.7,1.5,0,1.75,1.5
1638.44,1.22,2,1.11,1.44
1620.45,1.67,0,1.0,0.89
1592.54,0.56,0,1.22,2.78
1688.61,1.89,2,1.78,1.33
1687.76,1.33,1,1.67,1.67
1660.0,0.78,1,0.89,1.56
1933.87,2.56,2,1.78,0.33
1555.94,0.56,0,0.89,2.11
1626.65,0.67,1,0.67,1.56
1622.91,0.22,1,0.67,1.56
1650.13,1.78,2,1.44,1.33
1542.05,0.33,0,0.44,2.0
1646.67,0.89,0,1.11,1.89
1860.6,2.33,2,2.22,0.78
1644.43,0.78,1,0.56,1.22
1848.67,2.33,1,2.44,1.22
1840.07,1.56,2,1.67,1.78
1697.35,1.67,0,1.67,1.33
1891.77,2.33,0,1.78,0.78
1978.06,2.56,2,2.89,0.33
1844.77,2.2,1,2.4,1.3
1935.48,2.6,1,2.0,0.4
1700.58,2.0,0,1.9,1.2
1843.57,1.7,2,1.7,1.7
1554.34,0.5,0,0.9,2.3
1685.27,1.3,2,1.6,1.6
1693.85,1.5,2,1.6,1.4
1644.63,1.4,0,1.1,1.3
1624.74,0.3,2,0.6,1.4
1657.34,1.9,0,1.6,1.2
1662.49,0.8,2,0.9,1.5
1637.84,0.8,0,1.0,2.1
1614.26,1.5,0,0.9,0.9
1884.58,2.1,2,1.6,0.8
1869.43,2.4,2,2.4,0.7
1648.34,0.8,0,0.7,1.3
1985.25,2.6,2,2.7,0.3
1624.82,0.7,0,0.6,1.4
1534.84,0.3,2,0.4,2.1
1580.57,0.5,0,1.1,2.8
1546.6,0.45,2,0.82,2.18
1635.39,1.27,0,1.09,1.45
1643.59,0.73,0,0.73,1.45
1888.66,2.18,2,1.73,0.91
1540.9,0.55,1,0.45,1.91
1669.4,1.0,1,1.18,1.55
1689.87,1.45,1,1.55,1.45
1627.8,0.73,1,1.09,2.27
1630.54,0.55,2,0.64,1.27
1693.14,1.82,0,1.82,1.27
1620.96,0.64,1,0.64,1.82
1648.42,1.73,1,1.45,1.18
1838.05,2.09,1,2.27,1.27
1609.35,1.36,1,1.0,1.09
1873.4,2.45,1,2.45,0.73
1699.96,1.64,1,1.73,1.36
1911.05,2.45,2,1.91,0.45
1571.38,0.45,0,1.0,2.64
1990.45,2.64,2,3.0,0.36
1862.01,1.82,0,1.73,1.64
1626.49,1.17,1,1.08,1.5
1686.37,1.42,1,1.42,1.33
1705.91,1.58,2,1.58,1.25
1555.5,0.67,0,0.92,2.08
1569.82,0.42,2,0.92,2.58
1619.89,0.67,0,0.67,1.75
1856.88,1.67,1,1.67,1.75
1639.79,0.67,1,0.67,1.42
1892.47,2.25,2,1.67,0.83
1867.45,2.33,0,2.25,0.67
1649.49,1.67,0,1.42,1.17
1912.61,2.5,2,1.92,0.42
1667.59,1.0,0,1.17,1.5
1995.57,2.67,2,3.0,0.42
1685.09,1.67,0,1.75,1.33
1831.17,2.0,2,2.17,1.25
1616.24,1.33,0,1.0,1.08
1542.71,0.58,2,0.5,1.83
1631.3,0.75,0,1.0,2.08
1638.59,0.75,2,0.75,1.25
1553.25,0.62,2,0.85,2.0
1600.76,1.23,0,0.92,1.15
1647.51,0.69,2,0.62,1.31
1622.79,0.69,0,1.0,2.08
1560.26,0.77,0,0.62,1.69
1627.42,1.15,2,1.08,1.46
1687.53,1.38,2,1.38,1.31
1644.57,1.54,0,1.31,1.31
1996.86,2.69,2,3.08,0.38
1680.53,1.54,0,1.69,1.38
1649.18,0.92,0,0.85,1.23
1663.85,0.92,2,1.08,1.69
1613.2,0.62,1,0.77,1.85
1853.49,1.62,1,1.54,1.62
1842.13,2.08,2,2.15,1.23
1905.26,2.31,0,1.77,0.85
1864.07,2.15,2,2.15,0.85
1578.59,0.62,0,1.08,2.54
1913.5,2.54,2,2.0,0.38
1710.24,1.69,0,1.54,1.15
1678.7,1.43,2,1.64,1.5
1552.26,0.71,0,0.64,1.71
1635.41,1.29,2,1.14,1.43
1656.12,0.86,0,0.71,1.21
1636.78,1.43,0,1.21,1.36
1998.69,2.71,2,3.07,0.43
1679.75,1.07,2,1.21,1.57
1561.18,0.79,0,0.93,1.93
1614.18,0.64,0,0.93,2.07
1916.0,2.57,2,1.93,0.36
1707.75,1.57,1,1.43,1.14
1633.27,0.86,1,0.79,1.36
1576.35,0.57,1,1.0,2.5
1695.32,1.5,1,1.43,1.21
1848.68,1.57,1,1.57,1.64
1853.53,2.14,1,2.29,1.29
1893.85,2.14,2,1.79,1.07
1618.01,0.64,0,0.86,1.86
1592.83,1.14,2,0.93,1.21
1866.31,2.21,0,2.14,0.79
1855.13,2.07,2,2.27,1.33
1548.48,0.67,0,0.67,1.73
1682.48,1.53,0,1.67,1.47
1920.0,2.6,2,2.0,0.4
1610.18,0.6,2,0.93,2.13
1645.44,1.4,0,1.27,1.4
1555.69,0.73,2,0.93,2.0
1615.6,0.6,0,0.87,1.93
1853.05,2.07,2,2.07,0.87
2000.63,2.73,0,3.0,0.47
1693.66,1.47,0,1.4,1.2
1896.26,2.2,2,1.87,1.07
1847.08,1.53,2,1.6,1.67
1578.01,0.6,0,1.0,2.4
1685.25,1.2,2,1.33,1.53
1646.09,0.8,0,0.73,1.33
1636.98,0.87,0,0.8,1.33
1606.09,1.27,2,1.0,1.2
1704.03,1.53,1,1.4,1.13
1634.84,1.33,1,1.2,1.4
1639.5,0.75,2,0.81,1.44
1686.25,1.38,0,1.31,1.25
1573.95,0.56,0,1.0,2.5
1689.79,1.31,2,1.44,1.56
1546.04,0.63,0,0.63,1.69
1625.31,0.81,2,0.81,1.38
1986.68,2.56,2,2.81,0.56
1699.48,1.5,0,1.44,1.19
1907.11,2.25,2,1.88,1.0
1616.65,0.75,0,0.94,2.0
1637.35,1.31,2,1.25,1.44
1562.81,0.88,0,0.94,1.88
1615.72,1.38,2,1.06,1.19
1673.91,1.44,0,1.56,1.63
1636.93,1.31,0,1.19,1.38
1858.83,2.13,2,2.06,0.81
1930.91,2.63,2,2.13,0.38
1841.38,1.63,0,1.75,1.63
1606.43,0.56,2,0.81,1.88
1856.25,2.13,0,2.19,1.25
1627.08,1.47,0,1.12,1.12
1937.28,2.65,2,2.18,0.41
1843.57,2.0,2,2.18,1.35
1615.04,0.71,0,0.88,1.94
1662.55,1.35,2,1.47,1.65
1632.71,1.24,0,1.18,1.41
1557.89,0.82,0,1.0,1.94
1835.01,1.53,2,1.71,1.71
1863.05,2.18,0,2.06,0.82
1678.48,1.29,2,1.24,1.24
1538.38,0.59,0,0.59,1.65
1619.1,0.71,2,0.94,1.88
1988.9,2.59,0,2.82,0.59
1647.28,0.88,2,0.82,1.35
1632.97,0.94,1,0.82,1.29
1564.91,0.53,1,0.94,2.47
1698.82,1.41,0,1.47,1.47
1642.28,1.41,2,1.35,1.47
1697.25,1.41,0,1.41,1.29
1908.72,2.29,2,1.82,0.94
1624.54,1.17,1,1.11,1.44
1846.64,2.06,1,2.22,1.33
1611.97,0.67,0,0.89,2.0
1688.78,1.33,2,1.44,1.56
1663.23,1.0,1,0.94,1.39
1551.32,0.78,1,1.0,2.11
1568.49,0.56,1,0.89,2.33
1623.25,1.39,1,1.06,1.17
1692.16,1.39,2,1.22,1.17
1972.95,2.44,0,2.78,0.72
1941.11,2.67,2,2.17,0.39
1629.39,0.94,0,0.78,1.22
1841.58,1.61,2,1.89,1.67
1527.51,0.56,0,0.61,1.72
1917.18,2.33,2,2.06,1.0
1670.71,1.44,0,1.5,1.56
1657.91,1.5,0,1.39,1.39
1849.36,2.06,2,1.94,0.83
1629.97,0.83,0,1.06,1.83
1683.2,1.33,2,1.39,1.5
1629.02,1.16,2,1.11,1.42
1703.72,1.42,0,1.63,1.53
1568.49,0.58,2,0.89,2.26
